lga_canonical,year,lga_code,ndvi,nlr,no2,population,z_nlr,z_no2,z_ndvi,urbanicity_index
Ikeja,2009,11,0.217819,,,712885.0,,,-0.7121026471129074,0.7121026471129074
Ikeja,2010,11,0.224499,,,735577.0,,,-0.6881569401125499,0.6881569401125499
Ikeja,2011,11,0.207429,,,758955.0,,,-0.5906553073642677,0.5906553073642677
Ikeja,2012,11,0.212822,16.964649,,783042.0,1.2171539898964268,,-0.6175810813244051,0.917367535610416
Ikeja,2013,11,0.252973,16.451308,,807859.0,1.2092259830788108,,-0.6335225511924081,0.9213742671356094
Ikeja,2014,11,0.235121,15.739421,,833430.0,1.105331808945847,,-0.5696453573712773,0.8374885831585621
Ikeja,2015,11,0.18091,15.499634,,859779.0,1.1484402157168052,,-0.7068768334657725,0.9276585245912888
Ikeja,2016,11,0.188286,16.377754,,886928.0,1.575131390278147,,-0.7567120441606823,1.1659217172194145
Ikeja,2017,11,0.187381,16.10462,,914890.0,1.4138960909885756,,-0.7706468297878202,1.092271460388198
Ikeja,2018,11,0.214713,19.021383,,943682.0,1.4209279949067792,,-0.6015955905374958,1.0112617927221377
