lga_canonical,lga_code,year,ndvi,nlr,no2,population,urbanicity_index,htn,cvd,dm,pct_unskilled,pct_semiskilled,z_ndvi,z_nlr,z_no2,z_pct_unskilled,log_pop,lga_idx,year_idx
Ikeja,11,2025,0.244058,20.549368,7.7e-05,1175093.0,0.8358432095899336,81,33,40,18.401206636500756,60.030165912518854,-0.22303669529742226,0.9385560475084458,1.345936885963933,0.6014775298030822,13.976857851364455,10,4
Ikorodu,12,2021,0.40855,4.460824,6.1e-05,1105119.0,-0.788035983725717,0,0,98,17.364341085271317,64.18604651162791,1.0604208592369024,-0.9906660302570732,-0.31302106168317506,0.3797448038354872,13.915463579443282,11,0
Ikorodu,12,2022,0.408317,4.757616,5.5e-05,1140483.0,-0.9437103596764714,27,9,51,17.364341085271317,64.18604651162791,1.4126299928051733,-0.9686572734618739,-0.4498438127623666,0.3797448038354872,13.946962414852393,11,1
Ikorodu,12,2023,0.433431,4.820848,5.5e-05,1177018.0,-0.8233898104328059,72,33,50,17.364341085271317,64.18604651162791,1.1956102302575582,-0.9669442705667086,-0.30761493047415095,0.3797448038354872,13.978494679243573,11,2
Ikorodu,12,2024,0.432704,5.821628,5.1e-05,1214779.0,-0.7935820633723306,61,33,37,17.364341085271317,64.18604651162791,1.1858632181029298,-0.9181351357225713,-0.27674783629149075,0.3797448038354872,14.010072725208133,11,3
Ikorodu,12,2025,0.396697,5.581695,5.6e-05,1253808.0,-0.7288215021198742,119,46,43,17.364341085271317,64.18604651162791,1.279065647748835,-1.0217595090521674,0.11436065044137991,0.3797448038354872,14.041695878404616,11,4
Kosofe,13,2021,0.317729,11.711056,9.2e-05,1482351.0,0.2610562384489378,0,0,81,20.2020202020202,60.0,0.3314558880522895,0.1674310011630003,0.9471936022361027,0.9865798223506461,14.20913989890077,12,0
Kosofe,13,2022,0.303531,12.4118,8.6e-05,1527506.0,0.2162576979696922,12,9,36,20.2020202020202,60.0,0.45208953947013386,0.19020320754320164,0.9106594258360089,0.9865798223506461,14.23914689800708,12,1
Kosofe,13,2023,0.364243,12.909245,8.3e-05,1573974.0,0.2144014317028016,62,34,51,20.2020202020202,60.0,0.6346616532554525,0.25009823491921396,1.0277677134446435,0.9865798223506461,14.269114189398659,12,2
Kosofe,13,2024,0.362581,13.167653,7.2e-05,1621797.0,0.1597122955016515,48,24,20,20.2020202020202,60.0,0.5897699934248031,0.15959256068628552,0.9093143192434721,0.9865798223506461,14.29904535169436,12,3
Kosofe,13,2025,0.35332,13.786798,7.7e-05,1671014.0,0.1822005596776794,69,31,35,20.2020202020202,60.0,0.8521977218955635,0.052862514964669025,1.345936885963933,0.9865798223506461,14.32894118575907,12,4
Lagos Island,14,2021,0.186943,3.872584,7.2e-05,308512.5,-0.0773970966432469,0,0,2,17.24137931034483,58.620689655172406,-0.7182838496884395,-1.0846270231966846,0.13415188357850424,0.35344954355614283,12.639517640145295,13,0
Lagos Island,14,2022,0.174454,4.135218,6.8e-05,314900.0,-0.0703603353926152,0,0,1,17.24137931034483,58.620689655172406,-0.7311189053137771,-1.0628897149156717,0.1206898034240488,0.35344954355614283,12.660010407089116,13,1
Lagos Island,14,2023,0.205722,4.102222,6.3e-05,326966.6666666667,-0.1168627391920529,9,1,3,17.24137931034483,58.620689655172406,-0.6505630876671171,-1.0750742730316378,0.0739229677883617,0.35344954355614283,12.697613507884297,13,2
Lagos Island,14,2024,0.212264,4.36125,6.1e-05,339033.3333333333,-0.0521050661848884,2,1,2,17.24137931034483,58.620689655172406,-0.6880268101053081,-1.1323856750041792,0.2880436663442057,0.35344954355614283,12.733853709945578,13,3
Lagos Island,14,2025,0.147062,4.783263,6.1e-05,351100.0,0.1529419425254226,2,4,2,17.24137931034483,58.620689655172406,-1.1775628574585655,-1.1263301173528568,0.40759308747055917,0.35344954355614283,12.768826362156524,13,4
Lagos Mainland,15,2021,0.155068,17.262372,9.3e-05,473793.75,1.0053756254447794,0,0,29,15.625,56.25,-0.974125102884391,1.0541560852809648,0.9878456881689824,0.007788343552525446,13.068527379399892,14,0
Lagos Mainland,15,2022,0.132883,17.65869,8.3e-05,483600.0,0.9585930304789262,8,4,5,15.625,56.25,-1.1121872463668847,0.984594022969212,0.778997822100682,0.007788343552525446,13.089013397722775,14,1
