disease,scenario,lga_canonical,cases_status_quo_mean,cases_scenario_mean,cases_avoided_median,cases_avoided_mean,cases_avoided_2.5,cases_avoided_97.5,P_avoided_gt_0,significant_95
htn,ndvi_plus_20,Amuwo Odofin,3.1680792849498514,3.346855060822703,-0.10871629975361674,-0.17877577587285146,-1.3400997401513925,0.6219583231700984,0.36,no
htn,ndvi_plus_20,Apapa,1.9215916425278055,1.9667379205502362,-0.033312152109462534,-0.045146278022430604,-0.33065247926892377,0.20498947995107503,0.36,no
htn,ndvi_plus_20,Badagry,1.3511972004078496,1.4411704089448094,-0.05740059093991651,-0.08997320853695996,-0.7292753251160656,0.2960545967949725,0.36,no
htn,ndvi_plus_20,Epe,0.8884699038114446,0.9482376182511277,-0.031050234197678134,-0.05976771443968311,-0.4692985423072138,0.2071349690586095,0.36,no
htn,ndvi_plus_20,Eti Osa,8.045648177478807,8.31018968750484,-0.19216095104009323,-0.2645415100260334,-1.9823689761958463,1.0542627677979362,0.36,no
htn,ndvi_plus_20,Ibeju Lekki,0.2345107528262688,0.2543747093795846,-0.007927798176625561,-0.019863956553315795,-0.13377473070741794,0.05843251613492008,0.36,no
htn,ndvi_plus_20,Ifako/Ijaye,28.020465620803503,28.746647135170416,-0.5384617510811545,-0.7261815143669175,-5.770120680009129,3.121322215491623,0.36,no
htn,ndvi_plus_20,Ikeja,29.01520838454784,29.65392082582442,-0.5229360153523066,-0.638712441276582,-5.456306170462798,3.2034729760951355,0.36,no
htn,ndvi_plus_20,Ikorodu,26.073294319534057,27.598106333317293,-1.0311864106446587,-1.5248120137832384,-11.431077964700185,5.3686392317253775,0.36,no
htn,ndvi_plus_20,Kosofe,19.47803486694424,20.444856486219688,-0.6537202147380476,-0.9668216192754483,-7.734813598664998,3.1160600313182827,0.36,no
htn,ndvi_plus_20,Lagos Island,1.267391186270817,1.2991757499039822,-0.02274232940089771,-0.03178456363316523,-0.2644378328868459,0.13746993309843344,0.36,no
htn,ndvi_plus_20,Lagos Mainland,3.7545242133356824,3.8068374673502423,-0.042707741692335155,-0.05231325401455993,-0.4404460548221949,0.2893510437243565,0.36,no
htn,ndvi_plus_20,Mushin,5.62614479527368,5.742205281949846,-0.08906992240751832,-0.11606048667616586,-0.9592990978458252,0.5258367555842443,0.36,no
htn,ndvi_plus_20,Ojo,12.714324382633926,13.514947274911897,-0.4974882314605211,-0.800622892277971,-6.649839916742955,2.567688852340609,0.36,no
htn,ndvi_plus_20,Oshodi/Isolo,15.819828237543549,16.346008919507028,-0.37998697374490886,-0.5261806819634756,-4.261290935663707,2.187983124760512,0.36,no
htn,ndvi_plus_20,Shomolu,7.907941817708621,8.071984847518658,-0.11645371026479712,-0.16404302981003696,-1.2891825026089914,0.6768178064199643,0.36,no
htn,ndvi_plus_20,Surulere,6.494522447338373,6.601477228441741,-0.09009556127953422,-0.10695478110336729,-0.8622690256743744,0.5385392424067372,0.36,no
htn,ndvi_plus_20,LAGOS STATE,244.58687862195669,253.26708484117157,-6.068774311968335,-8.680206219214911,-70.63568809452299,33.038180790375826,0.36,no
htn,ndvi_plus_50,Agege,16.246422723514982,17.1526602812011,-0.5907888980593095,-0.9062375576861161,-7.282252174268049,3.425011782518414,0.36,no
htn,ndvi_plus_50,Ajeromi/Ifelodun,0.15058487905597442,0.1596016984572114,-0.003673957639331791,-0.009016819401236982,-0.08952234061169793,0.03306715793453671,0.36,no
htn,ndvi_plus_50,Alimosho,56.4086937854494,62.59278053946367,-3.720026424629962,-6.184086754014265,-46.30604818543265,18.828792912550867,0.36,no
htn,ndvi_plus_50,Amuwo Odofin,3.1680792849498514,3.7335959162095085,-0.2857291552961815,-0.5655166312596578,-4.136547433139768,1.3446272622327153,0.36,no
htn,ndvi_plus_50,Apapa,1.9215916425278055,2.051285255554174,-0.08493015346385413,-0.12969361302636856,-0.9089578909510277,0.48360666803570096,0.36,no
htn,ndvi_plus_50,Badagry,1.3511972004078496,1.6548875979082691,-0.14909492240995298,-0.30369039750041976,-2.3765097280279974,0.6514641972543352,0.36,no
htn,ndvi_plus_50,Epe,0.8884699038114446,1.0841406829593845,-0.08157948041567813,-0.19567077914793987,-1.4256301979588302,0.44233912654867613,0.36,no
htn,ndvi_plus_50,Eti Osa,8.045648177478807,8.836773788802038,-0.49356809380125855,-0.7911256113232311,-5.521630870261131,2.3941808658832135,0.36,no
htn,ndvi_plus_50,Ibeju Lekki,0.2345107528262688,0.3011793718995201,-0.021317773305018235,-0.06666861907325135,-0.4426131161865581,0.12852608455846692,0.36,no
htn,ndvi_plus_50,Ifako/Ijaye,28.020465620803503,30.13198686725408,-1.3697388560227983,-2.111521246450584,-15.778381733371988,7.346234674092393,0.36,no
htn,ndvi_plus_50,Ikeja,29.01520838454784,30.871069046958368,-1.3353366047106316,-1.8558606624105298,-14.841317720257122,7.5669270023777075,0.36,no
htn,ndvi_plus_50,Ikorodu,26.073294319534057,31.080102048374883,-2.76194038532869,-5.006807728840826,-35.910595292395335,12.031076286445032,0.36,no
htn,ndvi_plus_50,Kosofe,19.47803486694424,22.511430547480575,-1.6851279102746108,-3.033395680536336,-22.496626194276107,7.000646761974493,0.36,no
htn,ndvi_plus_50,Lagos Island,1.267391186270817,1.3588842460110675,-0.05841678368980824,-0.09149305974025049,-0.7316690126809411,0.32206066757910173,0.36,no
htn,ndvi_plus_50,Lagos Mainland,3.7545242133356824,3.9000504658392736,-0.108464242634697,-0.1455262525035917,-1.1624375648691272,0.6926268140359298,0.36,no
htn,ndvi_plus_50,Mushin,5.62614479527368,5.956628797539896,-0.22539671516900128,-0.3304840022662146,-2.615399500146491,1.2527927725596875,0.36,no
htn,ndvi_plus_50,Ojo,12.714324382633926,15.336291647217443,-1.3105419119150965,-2.621967264583519,-20.233271384550253,5.749099136937671,0.36,no
htn,ndvi_plus_50,Oshodi/Isolo,15.819828237543549,17.395021971720816,-0.9714188774014021,-1.5751937341772684,-12.071721513015143,5.013446631413042,0.36,no
htn,ndvi_plus_50,Shomolu,7.907941817708621,8.368526433443723,-0.29555234171825795,-0.4605846157351032,-3.4617278690422153,1.6060480751200878,0.36,no
htn,ndvi_plus_50,Surulere,6.494522447338373,6.794542683591293,-0.22744496263310277,-0.30002023625291874,-2.327280242068547,1.2944612712633448,0.36,no
htn,ndvi_plus_50,LAGOS STATE,244.58687862195669,271.2714398878863,-15.548134183661125,-26.684561265929627,-201.52859585259014,75.68627013381983,0.36,no
htn,combined_no2m20_ndvip20,Agege,16.246422723514982,11.652042916920237,4.096487725461321,4.594379806594746,0.8419481805786968,11.716306603590123,0.994,yes
htn,combined_no2m20_ndvip20,Ajeromi/Ifelodun,0.15058487905597442,0.12518937775569564,0.017062609375791613,0.025395501300278796,0.001649654099033019,0.10517567413572326,0.994,yes
htn,combined_no2m20_ndvip20,Alimosho,56.4086937854494,45.50640065109963,9.614835547205352,10.902293134349769,1.9125851403699397,28.27150481795734,0.994,yes
htn,combined_no2m20_ndvip20,Amuwo Odofin,3.1680792849498514,2.8188240627415473,0.31209672641484537,0.34925522220830446,-0.26553561731960346,1.1457291918169359,0.906,no
htn,combined_no2m20_ndvip20,Apapa,1.9215916425278055,1.5435734723353984,0.3326430498636789,0.37801817019240713,0.06398508376201537,1.00303061692974,0.994,yes
htn,combined_no2m20_ndvip20,Badagry,1.3511972004078496,1.3067261716000012,0.04567044797141612,0.04447102880784825,-0.36637416132245476,0.4126316048355107,0.622,no
htn,combined_no2m20_ndvip20,Epe,0.8884699038114446,0.8317833355923534,0.051684440809459914,0.056686568219091245,-0.14407291416021628,0.31086099331565675,0.736,no
htn,combined_no2m20_ndvip20,Eti Osa,8.045648177478807,6.8349682690566045,1.077380379973634,1.210679908422202,0.14717014679417573,3.210169117491697,0.992,yes
htn,combined_no2m20_ndvip20,Ibeju Lekki,0.2345107528262688,0.22755178344466295,0.0073966619744880585,0.006958969381605859,-0.06794944176972917,0.08838707405709315,0.628,no
htn,combined_no2m20_ndvip20,Ifako/Ijaye,28.020465620803503,21.56040359994325,5.683146275734233,6.460062020860246,1.3485137466885708,16.08126951560217,0.994,yes
htn,combined_no2m20_ndvip20,Ikeja,29.01520838454784,20.861218090020635,7.279232084821527,8.153990294527201,1.7777438707174182,19.832542860226987,0.994,yes
htn,combined_no2m20_ndvip20,Ikorodu,26.073294319534057,22.090946953639932,3.396014712021241,3.98234736589412,-1.4083108711803987,11.907106497498416,0.944,no
htn,combined_no2m20_ndvip20,Kosofe,19.47803486694424,14.621771694267414,4.309649702525971,4.856263172676826,0.9917618194691533,12.26600095554562,0.994,yes
htn,combined_no2m20_ndvip20,Lagos Island,1.267391186270817,1.0106396774339237,0.22502609806937474,0.25675150883689335,0.0484014674802037,0.6830256454682337,0.994,yes
htn,combined_no2m20_ndvip20,Lagos Mainland,3.7545242133356824,2.812932442884942,0.8152973731833817,0.9415917704507399,0.18853084381025176,2.4376941921729673,0.994,yes
htn,combined_no2m20_ndvip20,Mushin,5.62614479527368,4.063277651570517,1.365994008410755,1.562867143703163,0.31092260615016654,3.8504542974629548,0.994,yes
